Using device: cuda
torch threads: 1
train_every: 4, learning_starts: 1000

[Best] episode=50 score=-1.094 metrics={'eval_reward': -2.7944999999999984, 'eval_detected': 0.9, 'eval_completed': 0.4, 'eval_detected_value': 1.1, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.15099999941885472, 'stay_ratio': 0.6166666666666667, 'boundary_hit_ratio': 0.24133333333333334, 'revisit_ratio': 0.994}
[Eval 500] {'eval_reward': -2.582999999999999, 'eval_detected': 1.2, 'eval_completed': 0.2, 'eval_detected_value': 1.5, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.2804999977350235, 'stay_ratio': 0.5153333333333333, 'boundary_hit_ratio': 0.17933333333333334, 'revisit_ratio': 0.9946666666666667}

[Eval 550] {'eval_reward': -3.1984999999999983, 'eval_detected': 1.4, 'eval_completed': 0.1, 'eval_detected_value': 1.8, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.27574999928474425, 'stay_ratio': 0.346, 'boundary_hit_ratio': 0.25266666666666665, 'revisit_ratio': 0.994}

[Eval 600] {'eval_reward': -2.790000000000002, 'eval_detected': 1.2, 'eval_completed': 0.1, 'eval_detected_value': 1.6, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.2610000014305115, 'stay_ratio': 0.36666666666666664, 'boundary_hit_ratio': 0.274, 'revisit_ratio': 0.9946666666666667}

[Eval 650] {'eval_reward': -4.545000000000008, 'eval_detected': 1.4, 'eval_completed': 0.3, 'eval_detected_value': 1.7, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.2885000005364418, 'stay_ratio': 0.15466666666666667, 'boundary_hit_ratio': 0.56, 'revisit_ratio': 0.9946666666666667}

[Eval 700] {'eval_reward': -2.7730000000000006, 'eval_detected': 1.4, 'eval_completed': 0.3, 'eval_detected_value': 1.9, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.31950000375509263, 'stay_ratio': 0.2633333333333333, 'boundary_hit_ratio': 0.342, 'revisit_ratio': 0.9946666666666667}

[Best] episode=750 score=0.290 metrics={'eval_reward': -1.9100000000000026, 'eval_detected': 1.2, 'eval_completed': 0.5, 'eval_detected_value': 1.5, 'eval_completed_value': 0.6, 'eval_sensor_coverage': 0.22524999976158142, 'stay_ratio': 0.38666666666666666, 'boundary_hit_ratio': 0.256, 'revisit_ratio': 0.9946666666666667}

[Eval 750] {'eval_reward': -1.9100000000000026, 'eval_detected': 1.2, 'eval_completed': 0.5, 'eval_detected_value': 1.5, 'eval_completed_value': 0.6, 'eval_sensor_coverage': 0.22524999976158142, 'stay_ratio': 0.38666666666666666, 'boundary_hit_ratio': 0.256, 'revisit_ratio': 0.9946666666666667}

[Eval 800] {'eval_reward': -3.0940000000000047, 'eval_detected': 1.5, 'eval_completed': 0.6, 'eval_detected_value': 2.0, 'eval_completed_value': 0.7, 'eval_sensor_coverage': 0.23775000125169754, 'stay_ratio': 0.17133333333333334, 'boundary_hit_ratio': 0.476, 'revisit_ratio': 0.9946666666666667}

[Eval 850] {'eval_reward': -3.4495000000000005, 'eval_detected': 1.4, 'eval_completed': 0.3, 'eval_detected_value': 1.6, 'eval_completed_value': 0.3, 'eval_sensor_coverage': 0.2827499985694885, 'stay_ratio': 0.306, 'boundary_hit_ratio': 0.322, 'revisit_ratio': 0.994}

[Best] episode=900 score=2.202 metrics={'eval_reward': -0.8975000000000012, 'eval_detected': 1.7, 'eval_completed': 0.7, 'eval_detected_value': 2.1, 'eval_completed_value': 0.9, 'eval_sensor_coverage': 0.26349999755620956, 'stay_ratio': 0.3273333333333333, 'boundary_hit_ratio': 0.2946666666666667, 'revisit_ratio': 0.994}

[Eval 900] {'eval_reward': -0.8975000000000012, 'eval_detected': 1.7, 'eval_completed': 0.7, 'eval_detected_value': 2.1, 'eval_completed_value': 0.9, 'eval_sensor_coverage': 0.26349999755620956, 'stay_ratio': 0.3273333333333333, 'boundary_hit_ratio': 0.2946666666666667, 'revisit_ratio': 0.994}

[Eval 950] {'eval_reward': -2.9809999999999985, 'eval_detected': 1.2, 'eval_completed': 0.3, 'eval_detected_value': 1.5, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.210750000923872, 'stay_ratio': 0.39866666666666667, 'boundary_hit_ratio': 0.3446666666666667, 'revisit_ratio': 0.9946666666666667}

[Eval 1000] {'eval_reward': -0.8125000000000012, 'eval_detected': 1.1, 'eval_completed': 0.6, 'eval_detected_value': 1.3, 'eval_completed_value': 0.7, 'eval_sensor_coverage': 0.1767500028014183, 'stay_ratio': 0.6693333333333333, 'boundary_hit_ratio': 0.124, 'revisit_ratio': 0.994}
Training complete.
Best checkpoint: runs/v2_frontier/ddqn_seed42_1000/best.pt at episode 900, score=2.202
